0,1
"[(4, 0, 4, 0) (3, 1, 4, 0)]",44.0
"[(6, 0, 0, 3)]",51.0
"[(1, 4, 4, 2)]",67.0
"[(4, 2, 4, 2)]",60.0
"[(1, 4, 2, 3)]",41.0
"[(4, 2, 4, 2)]",48.0
"[(1, 4, 3, 3) (4, 2, 4, 2)]",50.0
"[(1, 4, 4, 2)]",62.0
"[(1, 4, 2, 4)]",61.0
"[(1, 4, 2, 3) (1, 4, 1, 5)]",54.0
"[(4, 2, 3, 3)]",49.0
"[(1, 4, 0, 5)]",56.0
