vp,month,1,2,3,4,5,6,7,8,9,10,11,12
230,6,1,0,2,3.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,
230,7,1,1,2,2.0,2.0,2.0,2.0,1.0,,,,
230,8,1,0,3,3.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,
230,9,1,0,2,3.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,
230,10,1,0,3,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,
230,11,1,1,0,1.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,
230,12,1,0,3,3.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,
235,1,1,2,3,2.0,0.0,0.0,1.0,1.0,2.0,,,
235,2,0,2,0,3.0,3.0,0.0,3.0,3.0,3.0,,,
235,3,0,1,0,3.0,0.0,0.0,2.0,0.0,2.0,,,
235,4,0,2,0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0
235,5,0,1,3,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,
235,6,0,2,1,2.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0
235,7,2,1,2,2.0,2.0,1.0,3.0,,,,,
235,8,0,1,2,3.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,
235,9,0,1,0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0
235,10,0,1,0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,,
235,11,1,2,1,1.0,0.0,0.0,2.0,2.0,2.0,2.0,,
235,12,0,0,1,1.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,
