vp,month,1,2,3,4,5,6,7,8,9,10,11,12
154,11,1,1,0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,
154,12,1,0,0,0.0,1.0,0.0,3.0,2.0,2.0,,,
161,1,2,2,2,2.0,3.0,3.0,0.0,0.0,,,,
161,2,2,2,2,3.0,3.0,,,,,,,
161,3,2,2,2,3.0,3.0,3.0,0.0,0.0,0.0,,,
161,4,0,0,0,1.0,,,,,,,,
161,5,1,0,3,2.0,2.0,3.0,2.0,,,,,
161,6,1,0,2,3.0,2.0,2.0,2.0,,,,,
161,7,0,1,0,2.0,2.0,,,,,,,
161,8,2,2,0,3.0,3.0,0.0,1.0,3.0,2.0,,,
161,9,1,1,0,2.0,2.0,2.0,3.0,3.0,2.0,,,
161,10,2,3,1,0.0,0.0,2.0,2.0,3.0,2.0,,,
161,11,3,3,3,0.0,0.0,2.0,2.0,2.0,1.0,1.0,,
161,12,1,1,1,1.0,0.0,2.0,3.0,,,,,
163,1,1,0,2,3.0,1.0,0.0,1.0,3.0,2.0,,,
163,2,1,0,2,3.0,0.0,3.0,3.0,,,,,
163,3,1,0,2,3.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,
163,4,1,0,2,3.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,
163,5,1,0,2,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,
163,6,0,0,0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0
163,7,1,0,2,3.0,2.0,2.0,2.0,0.0,,,,
163,8,1,0,3,1.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
163,9,1,0,3,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,
163,10,1,0,3,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,3.0
163,11,1,0,1,2.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,
163,12,1,0,1,2.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,
164,1,3,1,2,2.0,,,,,,,,
164,2,3,2,0,1.0,0.0,3.0,,,,,,
164,3,2,1,0,3.0,1.0,1.0,,,,,,
164,4,1,1,2,2.0,3.0,0.0,2.0,1.0,3.0,3.0,,
164,5,1,1,2,2.0,1.0,1.0,2.0,2.0,0.0,3.0,,
164,6,0,1,1,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,
164,7,0,0,0,2.0,2.0,2.0,2.0,2.0,,,,
164,8,1,1,3,3.0,3.0,0.0,0.0,1.0,2.0,3.0,3.0,
164,9,1,1,1,1.0,0.0,2.0,2.0,2.0,,,,
164,10,1,1,0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,
164,11,1,1,2,2.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,
164,12,1,0,1,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,
166,1,0,0,0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,
166,2,3,3,0,0.0,3.0,3.0,0.0,0.0,2.0,,,
166,3,1,1,2,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,
166,4,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0
166,5,1,1,1,2.0,2.0,3.0,3.0,3.0,3.0,0.0,,
166,6,0,0,0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,
166,7,2,2,1,1.0,2.0,2.0,2.0,1.0,,,,
166,8,0,0,0,3.0,3.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0
166,9,1,1,0,1.0,1.0,2.0,2.0,2.0,,,,
166,10,3,3,1,1.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,
166,11,1,1,1,1.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,
166,12,0,0,0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0
167,1,1,1,1,0.0,1.0,3.0,3.0,3.0,,,,
167,2,0,0,3,3.0,0.0,0.0,0.0,3.0,0.0,,,
167,3,2,2,2,2.0,2.0,1.0,1.0,0.0,,,,
167,4,1,1,2,1.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,
167,5,1,1,1,1.0,3.0,2.0,2.0,0.0,3.0,2.0,3.0,
167,6,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0
167,7,0,0,0,0.0,0.0,0.0,,,,,,
167,8,1,1,1,3.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,
167,9,1,1,1,1.0,0.0,2.0,3.0,2.0,3.0,3.0,,
167,10,1,1,1,1.0,0.0,3.0,3.0,3.0,2.0,2.0,,
167,11,1,1,1,2.0,2.0,0.0,2.0,2.0,2.0,,,
167,12,1,1,1,1.0,3.0,3.0,3.0,3.0,3.0,0.0,,
169,1,3,2,1,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,
169,2,3,3,0,0.0,0.0,0.0,0.0,0.0,3.0,,,
169,3,1,1,2,2.0,2.0,2.0,0.0,0.0,3.0,3.0,,
169,4,2,2,1,1.0,2.0,0.0,1.0,0.0,,,,
169,5,1,1,1,2.0,2.0,1.0,0.0,3.0,2.0,2.0,,
169,6,1,1,1,3.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,
169,7,2,2,2,2.0,1.0,1.0,1.0,2.0,,,,
169,8,3,3,3,3.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,
169,9,0,0,0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0
169,10,3,3,1,1.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,
169,11,1,1,2,3.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,
169,12,1,1,0,3.0,3.0,3.0,2.0,1.0,3.0,0.0,3.0,
170,1,1,1,0,0.0,0.0,0.0,2.0,2.0,,,,
170,2,0,0,0,0.0,3.0,2.0,3.0,3.0,,,,
170,3,1,1,1,1.0,2.0,0.0,2.0,3.0,3.0,3.0,,
170,4,0,0,0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,
170,5,1,1,1,1.0,2.0,2.0,2.0,2.0,2.0,0.0,,
170,6,0,0,0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,
170,7,1,1,1,1.0,2.0,2.0,,,,,,
170,8,1,1,1,1.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,
170,9,1,1,1,1.0,3.0,3.0,3.0,0.0,2.0,2.0,3.0,
170,10,1,1,1,1.0,0.0,2.0,3.0,3.0,3.0,2.0,,
170,11,1,1,1,1.0,2.0,2.0,2.0,2.0,0.0,2.0,,
170,12,0,1,1,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,
171,1,1,1,1,1.0,3.0,2.0,3.0,0.0,,,,
171,2,3,3,3,3.0,3.0,3.0,1.0,,,,,
171,3,0,0,0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,
171,4,2,0,0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0
171,5,1,1,1,2.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,
171,6,0,0,0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0
171,7,1,1,2,2.0,2.0,2.0,2.0,1.0,,,,
171,8,0,1,3,3.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,
171,9,0,1,0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,
171,10,0,0,1,3.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0
171,11,1,1,2,2.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,
171,12,0,0,1,1.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,
172,1,1,1,1,0.0,2.0,2.0,2.0,2.0,3.0,,,
172,2,3,3,3,1.0,1.0,3.0,,,,,,
172,3,2,2,1,0.0,1.0,0.0,2.0,3.0,3.0,3.0,,
172,4,1,1,1,0.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,
172,5,1,1,1,1.0,3.0,3.0,3.0,3.0,2.0,2.0,,
172,6,1,0,0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,,
172,7,2,2,2,2.0,3.0,3.0,1.0,,,,,
172,8,1,1,1,2.0,2.0,2.0,3.0,3.0,3.0,,,
172,9,1,1,1,1.0,3.0,3.0,3.0,2.0,2.0,3.0,,
172,10,1,1,1,0.0,3.0,3.0,3.0,3.0,2.0,2.0,,
172,11,1,1,1,1.0,2.0,2.0,2.0,3.0,3.0,3.0,,
172,12,3,3,3,3.0,1.0,1.0,1.0,1.0,3.0,3.0,,
175,1,1,1,1,1.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,
175,2,0,0,3,3.0,3.0,0.0,3.0,1.0,3.0,,,
175,3,2,2,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
175,4,1,0,1,1.0,1.0,2.0,3.0,2.0,3.0,2.0,,
175,5,1,1,1,1.0,0.0,2.0,2.0,2.0,2.0,2.0,,
175,6,0,0,0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0
175,7,2,2,2,2.0,2.0,0.0,0.0,0.0,,,,
175,8,0,0,0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0
175,9,1,1,1,1.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,
175,10,1,0,0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0
175,11,1,1,2,2.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,
175,12,0,0,0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0
177,1,2,3,1,0.0,2.0,3.0,1.0,0.0,,,,
177,2,3,0,3,3.0,0.0,1.0,2.0,,,,,
177,3,0,1,3,2.0,0.0,1.0,0.0,2.0,0.0,,,
177,4,1,2,1,1.0,2.0,1.0,3.0,0.0,3.0,3.0,3.0,
177,5,2,2,2,1.0,2.0,2.0,1.0,1.0,1.0,0.0,,
177,6,3,2,0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0
177,7,1,1,2,2.0,1.0,,,,,,,
177,8,0,1,3,2.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,
177,9,0,3,3,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0
177,10,0,0,3,3.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0
177,11,1,2,2,3.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,
177,12,0,0,3,3.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0
182,1,0,1,3,2.0,0.0,1.0,3.0,2.0,0.0,3.0,,
182,2,3,0,2,3.0,1.0,3.0,3.0,3.0,,,,
182,3,1,1,2,3.0,3.0,2.0,0.0,0.0,1.0,2.0,,
